model,n_train,function,output_dim_modeled_idx,training_time,rmse
PCGP,100,borehole,0,0.346754789352417,78.84484927310275
Surmise,100,borehole,0,0.029179096221923828,78.81948048244443
PCGP,100,otlcircuit,0,0.4088590145111084,0.0571050442330263
Surmise,100,otlcircuit,0,0.09158611297607422,0.05730299506940853
PCGP,100,piston,0,0.9301760196685791,0.05010666831348588
Surmise,100,piston,0,0.21687602996826172,0.0528393275289491
PCGP,200,borehole,0,0.6248328685760498,11.2428329593653
Surmise,200,borehole,0,0.02782416343688965,11.269212623318058
PCGP,200,otlcircuit,0,0.9946248531341553,0.05196022389282946
Surmise,200,otlcircuit,0,0.1207590103149414,0.05215477679088183
PCGP,200,piston,0,1.2713100910186768,0.03166809554735885
Surmise,200,piston,0,0.262908935546875,0.037923636015510874
PCGP,300,borehole,0,0.871002197265625,256.51576322896085
Surmise,300,borehole,0,0.03044414520263672,256.41497307717873
PCGP,300,otlcircuit,0,0.9800059795379639,0.04643469021902135
Surmise,300,otlcircuit,0,0.07590413093566895,0.04646333372107012
PCGP,300,piston,0,2.071566104888916,0.035931639406052124
Surmise,300,piston,0,0.5297107696533203,0.037200424211984474
