model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,coverage
PCGP,100,borehole,0,0,2.163145065307617,0.026051998138427734,40.21267263097481,0.5133333333333333
Surmise,100,borehole,0,0,0.024689197540283203,0.0003058910369873047,40.033779044972114,0.5333333333333333
PCGP,100,otlcircuit,0,0,5.259085178375244,0.04906129837036133,0.02723803667320779,1.0
Surmise,100,otlcircuit,0,0,0.2506091594696045,0.0003609657287597656,0.03277816242901157,1.0
PCGP,100,piston,0,0,9.970025062561035,0.025864124298095703,0.06379485887856955,0.8933333333333333
Surmise,100,piston,0,0,0.4130699634552002,0.0004799365997314453,0.06715852036553253,0.9066666666666666
PCGP,200,borehole,0,0,4.729344129562378,0.015574932098388672,16.136801700681623,0.5333333333333333
Surmise,200,borehole,0,0,0.09964990615844727,0.0006091594696044922,16.297737456948717,0.54
PCGP,200,otlcircuit,0,0,10.693427085876465,0.01750779151916504,0.018382840924126138,1.0
Surmise,200,otlcircuit,0,0,0.3534700870513916,0.0008780956268310547,0.01964011948218107,1.0
PCGP,200,piston,0,0,7.681605100631714,0.07614684104919434,0.035902293168829105,0.94
Surmise,200,piston,0,0,0.9224569797515869,0.0010459423065185547,0.044735849784242054,0.8866666666666667
PCGP,300,borehole,0,0,4.1589882373809814,0.02608776092529297,31.148766884612467,0.5866666666666667
Surmise,300,borehole,0,0,0.1187736988067627,0.0010840892791748047,30.995085601520316,0.5933333333333334
PCGP,300,otlcircuit,0,0,11.666071891784668,0.029258012771606445,0.015149979287219752,1.0
Surmise,300,otlcircuit,0,0,0.22400712966918945,0.0013670921325683594,0.01703881989353384,1.0
PCGP,300,piston,0,0,14.288250923156738,0.035363197326660156,0.029032434954142757,0.9466666666666667
Surmise,300,piston,0,0,0.8497111797332764,0.0018389225006103516,0.03239948982115231,0.9666666666666667
PCGP,500,borehole,0,0,12.394235134124756,0.04448509216308594,46.73121297710664,0.31333333333333335
Surmise,500,borehole,0,0,0.33165955543518066,0.0026590824127197266,46.69662698244763,0.30666666666666664
PCGP,500,otlcircuit,0,0,16.422325134277344,0.027627944946289062,0.00843261312453407,1.0
Surmise,500,otlcircuit,0,0,0.46685290336608887,0.024641990661621094,0.011669331363219229,1.0
PCGP,500,piston,0,0,23.783117055892944,0.048043012619018555,0.033348253583898244,0.9266666666666666
Surmise,500,piston,0,0,0.9757158756256104,0.003651857376098633,0.03318872386371635,0.9266666666666666
PCGP,800,borehole,0,0,63.226919174194336,0.11460995674133301,112.56091478272417,0.21333333333333335
Surmise,800,borehole,0,0,2.367205858230591,0.04762101173400879,112.51007929850172,0.21333333333333335
PCGP,800,otlcircuit,0,0,35.182551860809326,0.05185890197753906,0.010683121835560253,1.0
Surmise,800,otlcircuit,0,0,1.3972737789154053,0.006673097610473633,0.0168113682769384,1.0
PCGP,800,piston,0,0,65.42844104766846,0.12520503997802734,0.022772077569022962,0.9466666666666667
Surmise,800,piston,0,0,3.117722988128662,0.006968975067138672,0.032088069968728095,0.9333333333333333
PCGP,100,borehole,0,1,2.028869152069092,0.03174400329589844,949.8813958243177,0.0
Surmise,100,borehole,0,1,0.08531999588012695,0.00034308433532714844,950.005525675703,0.0
PCGP,100,otlcircuit,0,1,8.443360090255737,0.023901939392089844,0.02124542177431349,1.0
Surmise,100,otlcircuit,0,1,0.05634498596191406,0.0003490447998046875,0.026676207802698672,1.0
PCGP,100,piston,0,1,13.906541109085083,0.009267807006835938,0.05475218443195488,0.8733333333333333
Surmise,100,piston,0,1,0.44921398162841797,0.0005311965942382812,0.05854857273263642,0.8733333333333333
PCGP,200,borehole,0,1,3.447082042694092,0.07079219818115234,32.12625591090444,0.4533333333333333
Surmise,200,borehole,0,1,0.049523115158081055,0.0006008148193359375,32.12624788370387,0.43333333333333335
PCGP,200,otlcircuit,0,1,8.057163000106812,0.05299997329711914,0.017268269458987878,1.0
Surmise,200,otlcircuit,0,1,0.11545181274414062,0.0008289813995361328,0.01786905253850775,1.0
PCGP,200,piston,0,1,12.677685022354126,0.023974895477294922,0.04263391035288292,0.9333333333333333
Surmise,200,piston,0,1,0.8262453079223633,0.00832676887512207,0.04537183216234372,0.9133333333333333
PCGP,300,borehole,0,1,10.67087173461914,0.020107030868530273,251.9162458800707,0.0
Surmise,300,borehole,0,1,0.16809511184692383,0.0012440681457519531,251.83838145374557,0.0
PCGP,300,otlcircuit,0,1,9.741177082061768,0.1186680793762207,0.014906819046827748,1.0
Surmise,300,otlcircuit,0,1,0.3042421340942383,0.0012881755828857422,0.015521987527104611,1.0
PCGP,300,piston,0,1,16.357094287872314,0.0611729621887207,0.03819750954606602,0.9466666666666667
Surmise,300,piston,0,1,1.1706490516662598,0.002343893051147461,0.04118946615476508,0.9466666666666667
PCGP,500,borehole,0,1,19.62094283103943,0.12578105926513672,30.731966641942282,0.47333333333333333
Surmise,500,borehole,0,1,0.37396669387817383,0.002974987030029297,30.791932050625277,0.4666666666666667
PCGP,500,otlcircuit,0,1,20.65592074394226,0.05102109909057617,0.009852846023293685,1.0
Surmise,500,otlcircuit,0,1,0.4796102046966553,0.022434711456298828,0.012476064724443906,1.0
PCGP,500,piston,0,1,59.97788691520691,0.11260008811950684,0.03349188613470277,0.9133333333333333
Surmise,500,piston,0,1,1.111006259918213,0.0034990310668945312,0.03892203856954473,0.9266666666666666
PCGP,800,borehole,0,1,51.29723596572876,0.06911683082580566,20.010216667304565,0.3466666666666667
Surmise,800,borehole,0,1,1.6439430713653564,0.007068157196044922,20.020764655099033,0.36
PCGP,800,otlcircuit,0,1,48.93740701675415,0.0910041332244873,0.008799165884916733,1.0
Surmise,800,otlcircuit,0,1,2.055742025375366,0.006590127944946289,0.01337207405445883,1.0
PCGP,800,piston,0,1,70.07610011100769,0.16738009452819824,0.02550051069948768,0.9466666666666667
Surmise,800,piston,0,1,3.316288948059082,0.00865793228149414,0.026219439903858558,0.9333333333333333
PCGP,100,borehole,0,2,2.273743152618408,0.01115107536315918,60.57355062096918,0.41333333333333333
Surmise,100,borehole,0,2,0.01775217056274414,0.00029778480529785156,60.9733312644457,0.38666666666666666
PCGP,100,otlcircuit,0,2,4.902811765670776,0.03936886787414551,0.02663725322701793,1.0
Surmise,100,otlcircuit,0,2,0.2677900791168213,0.0004296302795410156,0.029665207228263876,1.0
