model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,ci_coverage,pi_coverage
PCGP,1000,borehole,0,0,36.58951497077942,0.10731911659240723,18.274652048204185,74.0,74.0
Surmise,1000,borehole,0,0,2.089553117752075,0.010358095169067383,18.494469272109,73.33333333333333,73.33333333333333
PCGP,1000,otlcircuit,0,0,55.36074495315552,0.3047928810119629,0.009709165057006027,100.0,100.0
Surmise,1000,otlcircuit,0,0,1.812972068786621,0.010072946548461914,0.012092331069933102,100.0,100.0
PCGP,1000,piston,0,0,89.42107796669006,0.05040574073791504,0.017589072239509323,94.66666666666667,100.0
Surmise,1000,piston,0,0,4.147945880889893,0.010917901992797852,0.020688901605185408,95.33333333333334,100.0
PCGP,2000,borehole,0,0,122.59805274009705,0.12337517738342285,59.82857066502974,31.333333333333336,31.333333333333336
Surmise,2000,borehole,0,0,12.948543071746826,0.1917271614074707,59.89830301680236,32.666666666666664,32.666666666666664
PCGP,2000,otlcircuit,0,0,288.7172181606293,0.059909820556640625,0.011134258053729173,100.0,100.0
Surmise,2000,otlcircuit,0,0,5.240408182144165,0.04276609420776367,0.011202985072424888,100.0,100.0
PCGP,2000,piston,0,0,239.6419439315796,0.12469005584716797,0.018349743486013134,92.66666666666666,100.0
Surmise,2000,piston,0,0,8.50756287574768,0.03799915313720703,0.02122982577373475,92.66666666666666,100.0
PCGP,3000,borehole,0,0,340.0755479335785,0.13254666328430176,3.278328201397843,97.33333333333334,97.33333333333334
Surmise,3000,borehole,0,0,16.10393190383911,0.07297921180725098,3.264588262278492,98.0,98.0
PCGP,3000,otlcircuit,0,0,393.38503408432007,0.17759013175964355,0.011367202355646228,100.0,100.0
Surmise,3000,otlcircuit,0,0,14.124072074890137,0.07006597518920898,0.01264274006297588,100.0,100.0
PCGP,3000,piston,0,0,474.25952887535095,0.12955307960510254,0.01896970856400795,94.0,100.0
Surmise,3000,piston,0,0,14.339261054992676,0.07290792465209961,0.024279705156887443,92.66666666666666,99.33333333333333
