model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,seed,ci_coverage,pi_coverage
PCGP,25,borehole,0,0,0.282275915145874,0.03780412673950195,305.14149524945174,42,90.0,90.0
Surmise,25,borehole,0,0,0.034338951110839844,0.00015807151794433594,232.13360547677024,42,90.66666666666666,90.66666666666666
PCGP,25,otlcircuit,0,0,0.6554322242736816,0.011126995086669922,0.08103792074225286,42,92.66666666666666,95.33333333333334
Surmise,25,otlcircuit,0,0,0.041661739349365234,0.0001747608184814453,0.1051651991445273,42,93.33333333333333,95.33333333333334
PCGP,25,piston,0,0,0.31223487854003906,0.015896081924438477,0.1846364996851207,42,94.66666666666667,95.33333333333334
Surmise,25,piston,0,0,0.008831977844238281,0.000209808349609375,0.11573047820363377,42,81.33333333333333,88.66666666666667
PCGP,50,borehole,0,0,0.45404791831970215,0.03027510643005371,302.1644129749089,42,83.33333333333334,83.33333333333334
Surmise,50,borehole,0,0,0.004882097244262695,0.00017595291137695312,200.8610971532515,42,90.66666666666666,90.66666666666666
PCGP,50,otlcircuit,0,0,0.9891378879547119,0.06054091453552246,0.03898281816658603,42,100.0,100.0
Surmise,50,otlcircuit,0,0,0.012306928634643555,0.00021195411682128906,0.044123666216562676,42,100.0,100.0
PCGP,50,piston,0,0,3.0399389266967773,0.042115211486816406,0.08348220722817211,42,84.66666666666667,93.33333333333333
Surmise,50,piston,0,0,0.021370887756347656,0.0002727508544921875,0.07094448109914255,42,92.66666666666666,98.0
PCGP,100,borehole,0,0,1.645035982131958,0.00978708267211914,243.06377280364052,42,90.0,90.0
Surmise,100,borehole,0,0,0.00546717643737793,0.0003139972686767578,164.73317938005687,42,90.66666666666666,90.66666666666666
PCGP,100,otlcircuit,0,0,2.3583550453186035,0.019804954528808594,0.022172317386227502,42,100.0,100.0
Surmise,100,otlcircuit,0,0,0.0457150936126709,0.0003838539123535156,0.025719293072652027,42,100.0,100.0
PCGP,100,piston,0,0,4.654961109161377,0.015691041946411133,0.05379695628949584,42,91.33333333333333,98.0
Surmise,100,piston,0,0,0.09670782089233398,0.0005590915679931641,0.053607115480512266,42,94.0,97.33333333333334
PCGP,250,borehole,0,0,1.354612112045288,0.0445709228515625,194.82293117724635,42,96.66666666666667,96.66666666666667
Surmise,250,borehole,0,0,0.013588905334472656,0.0010159015655517578,147.59612868090247,42,98.0,98.0
PCGP,250,otlcircuit,0,0,4.156472206115723,0.026153087615966797,0.012407802192169618,42,100.0,100.0
Surmise,250,otlcircuit,0,0,0.0320279598236084,0.0020940303802490234,0.015453727842584222,42,100.0,100.0
PCGP,250,piston,0,0,4.7034759521484375,0.018609046936035156,0.03903324636131649,42,91.33333333333333,98.0
Surmise,250,piston,0,0,0.12828707695007324,0.0013790130615234375,0.037122348323616876,42,94.0,98.0
PCGP,500,borehole,0,0,2.265058994293213,0.031900882720947266,194.17009802975733,42,95.33333333333334,95.33333333333334
Surmise,500,borehole,0,0,0.05147814750671387,0.002496957778930664,147.13504053054038,42,96.0,96.0
PCGP,500,otlcircuit,0,0,9.960049152374268,0.009546041488647461,0.01243099058615853,42,100.0,100.0
Surmise,500,otlcircuit,0,0,0.06624984741210938,0.0026547908782958984,0.014323053375852598,42,100.0,100.0
PCGP,500,piston,0,0,8.659332036972046,0.016227006912231445,0.033348253583898244,42,92.66666666666666,98.0
Surmise,500,piston,0,0,0.1679527759552002,0.008596181869506836,0.03387808646494482,42,92.0,98.66666666666667
