,,,rmse,rmse,rmse,coverage,coverage,training_time,training_time,prediction_time,prediction_time
,,,mean,std,count,mean,std,mean,std,mean,std
model,n_train,function,,,,,,,,,
PCGP,100,borehole,231.2791,328.5351,10,0.2907,0.2044,2.4794,1.1585,0.0497,0.07
PCGP,100,otlcircuit,0.024,0.0041,10,0.9993,0.0021,6.3692,1.085,0.0261,0.0145
PCGP,100,piston,0.0555,0.0079,10,0.8973,0.041,12.8343,2.2819,0.053,0.0462
PCGP,200,borehole,41.8033,51.2744,10,0.5187,0.2264,5.2417,1.1037,0.0431,0.0489
PCGP,200,otlcircuit,0.0176,0.0035,10,1.0,0.0,8.6044,1.9694,0.0538,0.0418
PCGP,200,piston,0.0392,0.0033,10,0.9293,0.024,10.834,1.9051,0.0735,0.0403
PCGP,300,borehole,95.1489,86.8249,10,0.3367,0.2259,10.2076,4.343,0.0457,0.0265
PCGP,300,otlcircuit,0.0134,0.0017,10,1.0,0.0,11.1117,1.4836,0.0647,0.0289
PCGP,300,piston,0.0342,0.0048,10,0.934,0.0264,16.4639,2.2467,0.0645,0.0314
PCGP,500,borehole,143.3765,179.436,10,0.2667,0.2033,13.9779,3.1717,0.1297,0.0732
PCGP,500,otlcircuit,0.0123,0.0045,10,1.0,0.0,25.5733,8.5112,0.0871,0.0667
PCGP,500,piston,0.0312,0.0034,10,0.936,0.0252,35.2427,10.2391,0.0874,0.0488
PCGP,800,borehole,86.3394,135.5304,10,0.4447,0.274,32.4842,15.7166,0.1384,0.0546
PCGP,800,otlcircuit,0.0112,0.0022,10,1.0,0.0,60.7647,21.4779,0.1303,0.0843
PCGP,800,piston,0.0232,0.0032,10,0.9513,0.0191,73.55,20.5411,0.1223,0.0585
Surmise,100,borehole,231.3317,328.5326,10,0.2973,0.2107,0.0305,0.0224,0.0089,0.0185
Surmise,100,otlcircuit,0.028,0.0052,10,1.0,0.0,0.2853,0.1346,0.0005,0.0002
Surmise,100,piston,0.0564,0.0072,10,0.902,0.0317,0.474,0.137,0.0052,0.0098
Surmise,200,borehole,41.805,51.0307,10,0.5213,0.2255,0.0584,0.0312,0.0007,0.0001
Surmise,200,otlcircuit,0.0194,0.0032,10,1.0,0.0,0.223,0.0904,0.0011,0.0008
Surmise,200,piston,0.0422,0.0034,10,0.9233,0.0248,1.0165,0.2353,0.0021,0.0023
Surmise,300,borehole,95.189,86.8216,10,0.33,0.2228,0.1673,0.0847,0.0084,0.0211
Surmise,300,otlcircuit,0.0163,0.002,10,1.0,0.0,0.2912,0.0936,0.01,0.0164
Surmise,300,piston,0.0389,0.0068,10,0.93,0.0229,1.1754,0.1925,0.0247,0.0405
Surmise,500,borehole,143.4688,179.4334,10,0.2693,0.206,0.4745,0.1507,0.0193,0.0307
Surmise,500,otlcircuit,0.0145,0.0044,10,1.0,0.0,0.5796,0.2758,0.0079,0.0083
Surmise,500,piston,0.0349,0.0038,10,0.9333,0.0222,1.2302,0.4561,0.0177,0.0267
Surmise,800,borehole,86.3662,135.5258,10,0.45,0.2709,1.6159,0.5725,0.0185,0.0181
Surmise,800,otlcircuit,0.0135,0.0022,10,1.0,0.0,1.7338,0.5487,0.0154,0.0184
Surmise,800,piston,0.027,0.0041,10,0.948,0.0147,1.9951,1.0669,0.0127,0.0129
